id,foss_id,tutorial,level_id,order,user_id,created,updated
172,15,Database Maintenance,3,18,1,2014-07-27 13:07:59,2014-07-27 13:07:59
173,26,Sets,2,28,1,2014-07-27 13:07:59,2014-07-27 13:07:59
174,15,Indexes Table Filter SQL Command window,3,19,1,2014-07-27 13:07:59,2014-07-27 13:07:59
175,15,Database Design Purpose OrganizeTables,3,20,1,2014-07-27 13:07:59,2014-07-27 13:07:59
176,15,Database Design Primary Key and Relationships,3,21,1,2014-07-27 13:07:59,2014-07-27 13:07:59
177,15,Design Refine Database Design and Normalization Rules,3,22,1,2014-07-27 13:07:59,2014-07-27 13:07:59
178,26,loading data from files,1,7,1,2014-07-27 13:08:00,2014-07-27 13:08:00
179,26,Other types of plots,1,9,1,2014-07-27 13:08:00,2014-07-27 13:08:00
180,26,Plotting the data,1,8,1,2014-07-27 13:08:00,2014-07-27 13:08:00
181,26,Getting started with symbolics,1,35,1,2014-07-27 13:08:00,2014-07-27 13:08:00
182,26,Using Sage,1,36,1,2014-07-27 13:08:01,2014-07-27 13:08:01
183,27,Handling large files,1,5,1,2014-07-27 13:08:01,2014-07-27 13:08:01
184,27,Interactive Plotting,1,2,1,2014-07-27 13:08:01,2014-07-27 13:08:01
185,27,Plotting experimental data,1,3,1,2014-07-27 13:08:01,2014-07-27 13:08:01
186,27,Plotting experimental data continued,1,4,1,2014-07-27 13:08:01,2014-07-27 13:08:01
187,27,Arrays Matrices,2,6,1,2014-07-27 13:08:01,2014-07-27 13:08:01
188,27,Least Square Fit,2,7,1,2014-07-27 13:08:01,2014-07-27 13:08:01
189,27,Solving Equations,2,8,1,2014-07-27 13:08:02,2014-07-27 13:08:02
190,27,Ordinary Differential Equations,2,9,1,2014-07-27 13:08:02,2014-07-27 13:08:02
191,27,Data Types Numbers,2,10,1,2014-07-27 13:08:02,2014-07-27 13:08:02
192,27,Data Structures Lists and Tuples,2,12,1,2014-07-27 13:08:02,2014-07-27 13:08:02
193,27,Data Structures Dictionaries and Sets,2,13,1,2014-07-27 13:08:02,2014-07-27 13:08:02
194,27,Conditional statements and Loops,3,14,1,2014-07-27 13:08:02,2014-07-27 13:08:02
195,27,Functions,3,15,1,2014-07-27 13:08:02,2014-07-27 13:08:02
197,14,Feedback diagram with Maths,2,1,7,2014-07-27 13:08:03,2019-10-31 05:04:53
198,26,Accessing parts of arrays,2,17,1,2014-07-27 13:08:03,2014-07-27 13:08:03
199,26,Matrices,2,18,1,2014-07-27 13:08:03,2014-07-27 13:08:03
200,32,What is a Spoken Tutorial,1,1,1,2014-07-27 13:08:03,2014-07-27 13:08:03
201,32,Dubbing a spoken tutorial using Movie Maker,1,4,1,2014-07-27 13:08:03,2014-07-27 13:08:03
202,25,MySQL Part 1,2,25,1,2014-07-27 13:08:03,2014-07-27 13:08:03
203,25,MySQL Part 2,2,26,1,2014-07-27 13:08:04,2014-07-27 13:08:04
204,25,MySQL Part 3,2,27,1,2014-07-27 13:08:04,2014-07-27 13:08:04
205,25,MySQL Part 4,2,28,1,2014-07-27 13:08:04,2014-07-27 13:08:04
206,25,MySQL Part 5,2,29,1,2014-07-27 13:08:04,2014-07-27 13:08:04
207,25,MySQL Part 6,2,30,1,2014-07-27 13:08:04,2014-07-27 13:08:04
208,25,MySQL Part 7,2,31,1,2014-07-27 13:08:04,2014-07-27 13:08:04
209,25,MySQL Part 8,2,32,1,2014-07-27 13:08:04,2014-07-27 13:08:04
210,32,Creation of a spoken tutorial using Camstudio,1,2,1,2014-07-27 13:08:05,2014-07-27 13:08:05
211,25,User Password Change Part 1,3,49,1,2014-07-27 13:08:05,2014-07-27 13:08:05
212,25,User Password Change Part 3,3,51,1,2014-07-27 13:08:05,2014-07-27 13:08:05
213,26,Getting started with arrays,2,16,1,2014-07-27 13:08:05,2014-07-27 13:08:05
214,26,Least square fit,2,19,1,2014-07-27 13:08:05,2014-07-27 13:08:05
215,26,I O,2,21,1,2014-07-27 13:08:05,2014-07-27 13:08:05
216,26,Basic datatypes and operators,2,20,1,2014-07-27 13:08:05,2014-07-27 13:08:05
217,26,Conditionals,2,22,1,2014-07-27 13:08:06,2014-07-27 13:08:06
218,26,Getting started with tuples,2,26,1,2014-07-27 13:08:06,2014-07-27 13:08:06
219,8,Introduction to GNS3,1,1,1,2014-07-27 13:08:06,2014-07-27 13:08:06
220,26,Loops,2,23,1,2014-07-27 13:08:06,2014-07-27 13:08:06
222,26,Getting started with sage notebook,1,34,1,2014-07-27 13:08:06,2014-07-27 13:08:06
223,26,Using sage to teach,1,37,1,2014-07-27 13:08:06,2014-07-27 13:08:06
224,26,Getting started with for,2,11,1,2014-07-27 13:08:06,2014-07-27 13:08:06
225,26,Getting started with strings,2,12,1,2014-07-27 13:08:07,2014-07-27 13:08:07
226,26,Getting started with files,2,13,1,2014-07-27 13:08:07,2014-07-27 13:08:07
227,26,Manipulating strings,2,25,1,2014-07-27 13:08:07,2014-07-27 13:08:07
228,20,Typing text and basic formatting,1,3,7,2014-07-27 13:08:07,2017-03-06 10:01:02
229,1,Hardware requirement to install Blender,1,3,1,2014-07-27 13:08:07,2014-07-27 13:08:07
230,1,Installation Process for Windows,1,4,1,2014-07-27 13:08:07,2014-07-27 13:08:07
231,1,3D Cursor,1,7,1,2014-07-27 13:08:07,2014-07-27 13:08:07
232,1,Moving in 3D Space,1,8,1,2014-07-27 13:08:08,2014-07-27 13:08:08
233,1,Camera View Settings,1,9,1,2014-07-27 13:08:08,2014-07-27 13:08:08
234,1,The Blender Interface,1,10,1,2014-07-27 13:08:08,2014-07-27 13:08:08
235,1,How to Change Window types in Blender,1,11,1,2014-07-27 13:08:08,2014-07-27 13:08:08
236,1,Types of Windows File Browser Info Panel,1,12,1,2014-07-27 13:08:08,2014-07-27 13:08:08
237,1,Types of Windows User Preference,1,13,1,2014-07-27 13:08:08,2014-07-27 13:08:08
238,1,Types of Windows Outliner,1,14,1,2014-07-27 13:08:08,2014-07-27 13:08:08
239,1,Types of Windows Properties Part 1,1,15,1,2014-07-27 13:08:09,2014-07-27 13:08:09
240,1,Types of Windows Properties Part 2,1,16,1,2014-07-27 13:08:09,2014-07-27 13:08:09
241,1,Types of Windows Properties Part 3,1,17,1,2014-07-27 13:08:09,2014-07-27 13:08:09
242,1,Types of Windows Properties Part 4,1,18,1,2014-07-27 13:08:09,2014-07-27 13:08:09
243,20,Introduction to LibreOffice Writer,1,2,7,2014-07-27 13:08:09,2017-03-06 10:01:10
244,1,Types of Windows Properties Part 5,1,19,1,2014-07-27 13:08:09,2014-07-27 13:08:09
245,5,Relationship between Geometric Figures,2,7,1,2014-07-27 13:08:09,2014-07-27 13:08:09
246,5,Spreadsheet View Advanced,2,11,1,2014-07-27 13:08:11,2014-07-27 13:08:11
247,3,Installation of Drupal,1,2,7,2014-07-27 13:08:11,2016-05-18 14:36:36
248,30,Installation of Add ons and selenium action commands,1,1,1,2014-07-27 13:08:11,2014-07-27 13:08:11
249,20,Using search replace auto correct,2,1,7,2014-07-27 13:08:11,2017-03-06 10:01:23
250,20,Typing in local languages,2,2,7,2014-07-27 13:08:11,2017-03-06 10:01:32
251,21,Working with Regular Files,1,12,7,2014-07-27 13:08:12,2018-08-31 03:26:26
252,20,Using track changes,3,1,7,2014-07-27 13:08:12,2017-03-06 10:01:44
253,20,Headers Footers and notes,3,2,7,2014-07-27 13:08:12,2017-03-06 10:01:55
254,31,Connecting SBHS to Computer,1,2,7,2014-07-27 13:08:12,2014-09-05 08:41:43
255,5,Understanding Quadrilaterals Properties,1,4,1,2014-07-27 13:08:13,2014-07-27 13:08:13
256,32,Editing using Audacity,1,7,1,2014-07-27 13:08:13,2014-07-27 13:08:13
257,19,Introduction,1,1,1,2014-07-27 13:08:13,2014-07-27 13:08:13
258,5,Angles and Triangles Basics,1,2,1,2014-07-27 13:08:13,2014-07-27 13:08:13
259,24,Installing Running,1,100,7,2014-07-27 13:08:13,2019-07-25 05:52:46
260,24,Creating simple geometry in OpenFOAM,1,2,1,2014-07-27 13:08:14,2014-07-27 13:08:14
261,5,Mensuration,2,6,1,2014-07-27 13:08:14,2014-07-27 13:08:14
262,4,Setting General Privacy Options,1,5,1,2014-07-27 13:08:14,2014-07-27 13:08:14
263,24,Simulating flow in a Lid Driven Cavity,1,4,1,2014-07-27 13:08:15,2014-07-27 13:08:15
264,5,Symmetrical Transformation in Geogebra,1,3,1,2014-07-27 13:08:15,2014-07-27 13:08:15
265,24,Supersonic flow over a wedge,1,5,1,2014-07-27 13:08:15,2014-07-27 13:08:15
266,24,Creating curved geometry in OpenFOAM,1,3,1,2014-07-27 13:08:15,2014-07-27 13:08:15
267,11,Designing circuit schematic in KiCad,1,2,1,2014-07-27 13:08:15,2014-07-27 13:08:15
268,22,Introduction to Netbeans,1,1,1,2014-07-27 13:08:15,2014-07-27 13:08:15
269,22,Developing a Sample Web Application,1,2,1,2014-07-27 13:08:16,2014-07-27 13:08:16
270,22,Designing GUI for Sample Java Application,1,3,1,2014-07-27 13:08:16,2014-07-27 13:08:16
271,22,Integrating an Applet in a Web Application,1,4,1,2014-07-27 13:08:16,2014-07-27 13:08:16
272,22,Handling Images in a Java GUI Application,1,6,1,2014-07-27 13:08:16,2014-07-27 13:08:16
273,10,Getting started java Installation,1,1,1,2014-07-27 13:08:16,2014-07-27 13:08:16
274,10,First Java Program,1,2,1,2014-07-27 13:08:16,2014-07-27 13:08:16
